date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
44148,22.2,19.2,26.6,,,,9,,1013.1,
44149,22.2,19.3,26.6,,,,4,,1010.3,
44150,20.9,15.7,26,,,,11.1,,1013.5,
44151,20.5,14,26.3,,,,6.8,,1014.6,
44152,23.4,17.7,27.7,,,,8.2,,1013,
44153,22.3,18,27.7,,,,9.5,,1013,
44154,20,14.8,26.7,6.1,,,7.8,,1018.7,
44155,21,17.2,25.6,,,,12.2,,1017.9,
44156,22.7,18.6,27.5,,,,9.1,,1016.2,
44157,24,19.3,29.6,,,,9.6,,1017.2,
44158,25.4,20.1,32.5,,,,12.2,,1013.1,
44159,26.6,21.9,32.6,,,,14.7,,1009,
44160,22.9,19.8,31.8,51,,,6.3,,1009.2,
44161,21.9,17.5,27.7,,,,13.1,,1015.2,
44162,23.5,17.9,29.8,,,,9.3,,1015.7,
44163,23.4,19.4,30.2,11,,,12.8,,1011,
44164,24.7,17.9,33,,,,9.5,,1011,
44165,18.6,12.2,33.3,,,,10.6,,1019.7,
44166,22,16.6,28,,,,8.9,,1014.1,
44167,23,19.5,28.5,,,,6.6,,1008.1,
44168,22.9,17.2,29.1,24.6,,,6.3,,1008.4,
44169,19.7,14.8,29.1,0,,,18.3,,1020.2,
44170,17.2,11.5,22.1,,,,7.9,,1025.7,
44171,19.5,15.4,24.3,,,,8.8,,1022,
44172,21.8,17.9,26.1,,,,9.7,,1018.2,
44173,23.2,19.3,27.6,,,,9.2,,1016.1,
44174,26.2,19.7,32,,,,7.2,,1014,
44175,29.1,21.8,35,,,,13,,1007,
44176,25.6,16,35,4,,,13.2,,1006.4,
44177,23.7,15.2,30.4,,,,8.8,,1007,
44178,21.6,14.5,30.4,18,,,12.3,,1009.2,
44179,22.2,15.5,27.7,,,,16,,1009.4,
44180,21.1,18.3,27.8,,,,9.8,,1010.8,
44181,22,17.1,27.8,,,,9.9,,1015.3,
44182,25.3,20.2,31.5,,,,8,,1012.2,
44183,27,20.4,33,,,,7.9,,1005.7,
44184,24.2,20.1,33,3.4,,,14.7,,999.7,
44185,18.7,12.7,27.6,,,,13,,1011,
44186,20.4,11.8,27.1,,,,7,,1016.4,
44187,25.2,18.4,31.5,,,,8.3,,1015,
44188,27,22.2,31.7,,,,8.4,,1012.8,
44189,26.7,21.9,32.5,,,,11.3,,1011.8,
44190,25.9,22.9,32.5,,,,11.2,,1012.9,
44191,26,23.2,29.7,,,,10.3,,1013.3,
44192,25.5,21.7,30.4,,,,12.9,,1014.7,
44193,27.2,23.9,31.9,,,,14,,1012.7,
44194,27.7,22.6,32.5,0.3,,,7.8,,1007.4,
44195,24.6,19.1,32.4,5,,,12,,1005.4,
44196,22.4,14.4,29.3,,,,10.3,,1012.9,
44197,26.7,19.8,33.6,,,,8.6,,1014.2,
44198,27.8,22.7,33.7,,,,9.1,,1015,
44199,27.3,22.7,33.7,,,,12.8,,1013.3,
44200,25.9,22.6,32.3,,,,12.9,,1009.5,
44201,25.4,22.3,31,,,,8.1,,1007.6,
44202,22.8,20.2,31.2,15,,,9.4,,1007.1,
44203,25.8,19,33.9,,,,9.4,,1007.1,
44204,26.4,21.4,33.9,,,,12.1,,1010.5,
44205,24.1,20.4,31.8,0.8,,,9,,1011.8,
44206,27.1,22.8,32.9,,,,13.2,,1008.4,
44207,22.2,18.5,33.3,54,,,10.3,,1007,
44208,21.1,16.5,24.9,,,,12.9,,1017.8,
44209,22.6,18.7,26.8,,,,11.1,,1020.8,
44210,23.5,19.1,28.5,,,,18.6,,1018,
44211,22.4,20.6,28.6,,,,14.2,,1009.4,
44212,24.2,20.3,31.5,6,,,7.2,,1004.2,
44213,21.2,16,31.7,0.7,,,14.2,,1009.3,
